Sample,pH,LacticAcid_D_g_L,LacticAcid_L_g_L
LcrispBCM_30mins,5.4,,
GvagBCM_30mins,6.88,,
VK2Media_30mins,7.34,,
LacticAcid_30mins,4.41,,
LcrispBCM_4h,5.4,,
GvagBCM_4h,6.88,,
VK2Media_4h,7.34,,
LacticAcid_4h,4.41,,
LcrispBCM_11h,5.4,0.40514739,0.446266323
GvagBCM_11h,6.88,0.00338924,0.110298779
VK2Media_11h,7.34,0,0
LacticAcid_11h,4.41,,
LinersBCM_11h,6.75,0.023129104,0.556987702
