SDS 2.4	AQ Results	1.0
Filename	091216_LCM_miRCURY
PlateID	
Assay Type	Absolute Quantification
Run DateTime	9/13/16 3:37:10 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
241	K1	sybr	SYBR	Unknown	24.760273	70.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
242	K2	sybr	SYBR	Unknown	24.718401	70.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
263	K23	sybr	SYBR	Unknown	22.447027	69.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
264	K24	sybr	SYBR	Unknown	22.643703	69.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
265	L1	sybr	SYBR	Unknown	Undetermined	91.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true		true			true				
266	L2	sybr	SYBR	Unknown	27.510368	62.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true									
287	L23	sybr	SYBR	Unknown	36.765957	61.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true									
288	L24	sybr	SYBR	Unknown	Undetermined	69.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true					true				
289	M1	sybr	SYBR	Unknown	24.804148	70.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
290	M2	sybr	SYBR	Unknown	24.780214	70.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
311	M23	sybr	SYBR	Unknown	22.817505	69.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
312	M24	sybr	SYBR	Unknown	22.572369	69.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
313	N1	sybr	SYBR	Unknown	27.221624	71.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true									
314	N2	sybr	SYBR	Unknown	Undetermined	72.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true		true			true				
335	N23	sybr	SYBR	Unknown	Undetermined	69.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true					true				
336	N24	sybr	SYBR	Unknown	Undetermined	68.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true					true				
337	O1	sybr	SYBR	Unknown	25.345238	69.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
338	O2	sybr	SYBR	Unknown	25.243452	69.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
357	O21	sybr	SYBR	Unknown	Undetermined	61.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911						true			true				
358	O22	sybr	SYBR	Unknown	Undetermined	69.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911						true			true				
359	O23	sybr	SYBR	Unknown	23.175535	69.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
360	O24	sybr	SYBR	Unknown	23.195536	69.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911													
339	O3	sybr	SYBR	Unknown	Undetermined	65.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911						true			true				
340	O4	sybr	SYBR	Unknown	Undetermined	62.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911						true			true				
361	P1	sybr	SYBR	Unknown	Undetermined	69.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true		true			true				
362	P2	sybr	SYBR	Unknown	Undetermined	67.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true								true	
383	P23	sybr	SYBR	Unknown	Undetermined	83.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true					true				
384	P24	sybr	SYBR	Unknown	1.0818679	86.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.0733911				true									
Slope		cycles/log decade
Y-Intercept		
R^2		



NAP	LPL
	
