miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez Gene ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT001158	hsa-miR-17-5p	Homo sapiens	PKD2	5311	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19821056
MIRT001141	hsa-miR-130a-3p	Homo sapiens	MAFB	9935	Homo sapiens	Luciferase reporter assay//Reporter assay	Functional MTI	16549775
MIRT001140	hsa-miR-10a-5p	Homo sapiens	HOXA1	3198	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Other	Functional MTI	16549775
MIRT001140	hsa-miR-10a-5p	Homo sapiens	HOXA1	3198	Homo sapiens	qRT-PCR//Western blot	Functional MTI	24498243
MIRT003834	hsa-let-7b-5p	Homo sapiens	LIN28B	389421	Homo sapiens	Luciferase reporter assay	Functional MTI	16971064
MIRT004304	hsa-miR-346	Homo sapiens	IL18	3606	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot//Northern blot	Non-Functional MTI	19342689
MIRT001128	hsa-miR-346	Homo sapiens	BTK	695	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19342689
MIRT001127	hsa-miR-105-5p	Homo sapiens	TLR2	7097	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19509287
MIRT001126	hsa-miR-98-5p	Homo sapiens	E2F2	1870	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19528081
MIRT003438	hsa-miR-98-5p	Homo sapiens	MYC	4609	Homo sapiens	Luciferase reporter assay	Functional MTI	19528081
MIRT001124	hsa-miR-98-5p	Homo sapiens	E2F1	1869	Homo sapiens	Luciferase reporter assay	Non-Functional MTI	19528081
MIRT004305	hsa-miR-98-5p	Homo sapiens	NCOA3	8202	Homo sapiens	Luciferase reporter assay	Non-Functional MTI	19528081
MIRT004306	hsa-miR-21-5p	Homo sapiens	NCOA3	8202	Homo sapiens	Luciferase reporter assay	Non-Functional MTI	19528081
MIRT000703	hsa-miR-18a-5p	Homo sapiens	ESR1	2099	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19706389
MIRT000703	hsa-miR-18a-5p	Homo sapiens	ESR1	2099	Homo sapiens	Luciferase reporter assay//Microarray	Functional MTI	19684618
MIRT000703	hsa-miR-18a-5p	Homo sapiens	ESR1	2099	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	20080637
MIRT004308	hsa-miR-29b-3p	Homo sapiens	ESR1	2099	Homo sapiens	Western blot	Functional MTI	19706389
MIRT004309	hsa-miR-19b-3p	Homo sapiens	ESR1	2099	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19706389
MIRT004310	hsa-miR-19b-3p	Homo sapiens	NCOA3	8202	Homo sapiens	Western blot	Non-Functional MTI	19706389
MIRT004311	hsa-miR-18a-5p	Homo sapiens	NCOA3	8202	Homo sapiens	Western blot	Non-Functional MTI	19706389
MIRT004312	hsa-miR-29b-3p	Homo sapiens	NCOA3	8202	Homo sapiens	Western blot	Functional MTI	19706389
MIRT004313	hsa-miR-20b-5p	Homo sapiens	ESR1	2099	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19706389
MIRT001112	hsa-miR-199b-5p	Homo sapiens	SET	6418	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19900756
MIRT001109	hsa-miR-223-3p	Homo sapiens	RHOB	388	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19850724
MIRT001109	hsa-miR-223-3p	Homo sapiens	RHOB	388	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22080513
MIRT001109	hsa-miR-223-3p	Homo sapiens	RHOB	388	Homo sapiens	Immunofluorescence//qRT-PCR//Western blot	Non-Functional MTI	23094093
MIRT004316	hsa-miR-223-3p	Homo sapiens	NFIX	4784	Homo sapiens	Luciferase reporter assay	Functional MTI	19850724
MIRT004317	hsa-miR-25-3p	Homo sapiens	CDKN1C	1028	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19153141
MIRT000032	hsa-miR-7-5p	Homo sapiens	SNCA	6622	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19628698
MIRT000032	hsa-miR-7-5p	Homo sapiens	SNCA	6622	Homo sapiens	Immunocytochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	20106983
MIRT001105	hsa-miR-503-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19538740
MIRT001105	hsa-miR-503-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	19956200
MIRT001105	hsa-miR-503-5p	Homo sapiens	CCND1	595	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	23731275
MIRT001104	hsa-miR-421	Homo sapiens	CBX7	23492	Homo sapiens	qRT-PCR//Western blot	Functional MTI	19802518
MIRT001103	hsa-miR-421	Homo sapiens	RBMXL1	494115	Homo sapiens	qRT-PCR//Western blot	Functional MTI	19802518
MIRT001095	hsa-miR-26a-5p	Homo sapiens	PTEN	5728	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19487573
MIRT001095	hsa-miR-26a-5p	Homo sapiens	PTEN	5728	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20216554
MIRT001095	hsa-miR-26a-5p	Homo sapiens	PTEN	5728	Homo sapiens	GFP reporter assay//Luciferase reporter assay//Western blot	Functional MTI	20080666
MIRT001095	hsa-miR-26a-5p	Homo sapiens	PTEN	5728	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22885155
MIRT001095	hsa-miR-26a-5p	Homo sapiens	PTEN	5728	Homo sapiens	Luciferase reporter assay	Functional MTI	24140063
MIRT004318	hsa-miR-21-5p	Homo sapiens	ERBB2	2064	Homo sapiens	qRT-PCR//Western blot	Functional MTI	19419954
MIRT004321	hsa-let-7a-5p	Homo sapiens	UHRF2	115426	Homo sapiens	qRT-PCR//Western blot//Luciferase reporter assay	Functional MTI	19818775
MIRT001088	hsa-miR-27a-3p	Homo sapiens	FOXO1	2308	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19574223
MIRT001088	hsa-miR-27a-3p	Homo sapiens	FOXO1	2308	Homo sapiens	Immunohistochemistry//Northern blot//qRT-PCR//Western blot	Functional MTI	20028871
MIRT001088	hsa-miR-27a-3p	Homo sapiens	FOXO1	2308	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	22213032
MIRT001087	hsa-miR-96-5p	Homo sapiens	FOXO1	2308	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19574223
MIRT001087	hsa-miR-96-5p	Homo sapiens	FOXO1	2308	Homo sapiens	Immunohistochemistry//Northern blot//qRT-PCR//Western blot	Functional MTI	20028871
MIRT001086	hsa-miR-182-5p	Homo sapiens	FOXO1	2308	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19574223
MIRT003193	hsa-miR-9-5p	Homo sapiens	NFKB1	4790	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	19702828
MIRT003193	hsa-miR-9-5p	Homo sapiens	NFKB1	4790	Homo sapiens	GFP reporter assay//qRT-PCR//Western blot	Functional MTI	20102618
MIRT003193	hsa-miR-9-5p	Homo sapiens	NFKB1	4790	Homo sapiens	GFP reporter assay//Western blot//EGFP reporter assay//qRT-PCR	Functional MTI	22131135
MIRT003193	hsa-miR-9-5p	Homo sapiens	NFKB1	4790	Homo sapiens	Reporter assay;Western blot	Functional MTI	19289835
MIRT003193	hsa-miR-9-5p	Homo sapiens	NFKB1	4790	Homo sapiens	GFP reporter assay//qRT-PCR//Western blot	Functional MTI	22825752
MIRT003260	hsa-miR-133b	Homo sapiens	MCL1	4170	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19654003
MIRT003260	hsa-miR-133b	Homo sapiens	MCL1	4170	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20056941
MIRT003260	hsa-miR-133b	Homo sapiens	MCL1	4170	Homo sapiens	Western blot	Functional MTI	24391788
MIRT001076	hsa-miR-133b	Homo sapiens	BCL2L2	599	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	19654003
MIRT001076	hsa-miR-133b	Homo sapiens	BCL2L2	599	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20056941
MIRT001076	hsa-miR-133b	Homo sapiens	BCL2L2	599	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25414595
MIRT001076	hsa-miR-133b	Homo sapiens	BCL2L2	599	Homo sapiens	Western blot	Functional MTI	24391788
MIRT001075	hsa-miR-155-5p	Homo sapiens	JARID2	3720	Homo sapiens	qRT-PCR//Luciferase reporter assay	Functional MTI	19759154
MIRT001075	hsa-miR-155-5p	Homo sapiens	JARID2	3720	Homo sapiens	Luciferase reporter assay	Functional MTI	23185331
MIRT001075	hsa-miR-155-5p	Homo sapiens	JARID2	3720	Homo sapiens	Reporter assay;Other	Functional MTI	20584899
MIRT001075	hsa-miR-155-5p	Homo sapiens	JARID2	3720	Homo sapiens	In situ hybridization//Luciferase reporter assay	Functional MTI	25097177
MIRT001074	hsa-miR-370-3p	Homo sapiens	MAP3K8	1326	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	17621267
MIRT001071	hsa-miR-128-3p	Homo sapiens	RELN	5649	Homo sapiens	qRT-PCR//Western blot//Luciferase reporter assay	Functional MTI	19713529
MIRT001070	hsa-miR-128-3p	Homo sapiens	DCX	1641	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19713529
MIRT001062	hsa-miR-218-5p	Homo sapiens	LAMB3	3914	Homo sapiens	qRT-PCR//Western blot//Northern blot//Luciferase reporter assay	Functional MTI	17998940
MIRT001062	hsa-miR-218-5p	Homo sapiens	LAMB3	3914	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23483249
MIRT001062	hsa-miR-218-5p	Homo sapiens	LAMB3	3914	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23159910
MIRT001061	hsa-miR-218-5p	Homo sapiens	EBP	10682	Homo sapiens	qRT-PCR//Western blot	Non-Functional MTI	17998940
MIRT001060	hsa-miR-218-5p	Homo sapiens	MRPS27	23107	Homo sapiens	qRT-PCR//Western blot	Non-Functional MTI	17998940
MIRT001059	hsa-miR-218-5p	Homo sapiens	NUP93	9688	Homo sapiens	qRT-PCR//Western blot	Non-Functional MTI	17998940
MIRT001058	hsa-miR-218-5p	Homo sapiens	EFNA1	1942	Homo sapiens	qRT-PCR//Western blot	Non-Functional MTI	17998940
MIRT001057	hsa-miR-218-5p	Homo sapiens	MBNL2	10150	Homo sapiens	qRT-PCR//Western blot	Non-Functional MTI	17998940
MIRT004322	hsa-miR-1-3p	Homo sapiens	PIM1	5292	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	18818206
MIRT004322	hsa-miR-1-3p	Homo sapiens	PIM1	5292	Homo sapiens	Luciferase reporter assay//Northern blot//Western blot	Functional MTI	21051663
MIRT001054	hsa-miR-1-3p	Homo sapiens	FOXP1	27086	Homo sapiens	qRT-PCR//Western blot//Luciferase reporter assay	Functional MTI	18818206
MIRT001054	hsa-miR-1-3p	Homo sapiens	FOXP1	27086	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18593903
MIRT001053	hsa-miR-1-3p	Homo sapiens	HDAC4	9759	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18818206
MIRT001053	hsa-miR-1-3p	Homo sapiens	HDAC4	9759	Homo sapiens	Western blot	Functional MTI	18593903
MIRT001053	hsa-miR-1-3p	Homo sapiens	HDAC4	9759	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24858276
MIRT004323	hsa-miR-155-5p	Homo sapiens	Cux1	13047	Mus musculus	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	18299402
MIRT004324	hsa-miR-155-5p	Homo sapiens	Sfpi1	20375	Mus musculus	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	18299402
MIRT001050	hsa-miR-155-5p	Homo sapiens	Picalm	233489	Mus musculus	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	18299402
MIRT001049	hsa-miR-155-5p	Homo sapiens	Cebpb	12608	Mus musculus	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	18299402
MIRT001048	hsa-miR-155-5p	Homo sapiens	Jarid2	16468	Mus musculus	qRT-PCR//Luciferase reporter assay	Functional MTI	18299402
MIRT001047	hsa-miR-155-5p	Homo sapiens	Csf1r	12978	Mus musculus	qRT-PCR//Luciferase reporter assay	Functional MTI	18299402
MIRT001046	hsa-miR-155-5p	Homo sapiens	Hif1a	15251	Mus musculus	qRT-PCR//Luciferase reporter assay	Functional MTI	18299402
MIRT001045	hsa-miR-155-5p	Homo sapiens	Sla	20491	Mus musculus	qRT-PCR//Luciferase reporter assay	Functional MTI	18299402
MIRT001044	hsa-miR-155-5p	Homo sapiens	Arntl	11865	Mus musculus	qRT-PCR//Luciferase reporter assay	Functional MTI	18299402
MIRT001042	hsa-miR-196b-5p	Homo sapiens	HOXB8	3218	Homo sapiens	Luciferase reporter assay	Functional MTI	18493311
MIRT004325	hsa-miR-199a-5p	Homo sapiens	LIF	3976	Homo sapiens	ELISA//Luciferase reporter assay	Functional MTI	19011087
MIRT001040	hsa-miR-346	Homo sapiens	LIF	3976	Homo sapiens	ELISA//Luciferase reporter assay	Functional MTI	19011087
MIRT004327	hsa-miR-181a-5p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18728182
MIRT004328	hsa-miR-181b-5p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18728182
MIRT004329	hsa-miR-25-3p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18728182
MIRT004330	hsa-miR-32-5p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18728182
MIRT004331	hsa-miR-92a-3p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Non-Functional MTI	18728182
MIRT004332	hsa-miR-93-5p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18728182
MIRT004333	hsa-miR-106b-5p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Functional MTI	18728182
MIRT004334	hsa-miR-19a-3p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Non-Functional MTI	18728182
MIRT004335	hsa-miR-19b-3p	Homo sapiens	KAT2B	8850	Homo sapiens	Western blot//Luciferase reporter assay	Non-Functional MTI	18728182
MIRT004336	hsa-miR-19b-3p	Homo sapiens	SOCS1	8651	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18728182
MIRT004337	hsa-miR-19a-3p	Homo sapiens	SOCS1	8651	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18728182
MIRT004337	hsa-miR-19a-3p	Homo sapiens	SOCS1	8651	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23621248
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18713946
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	20478051
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	21199804
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	20952513
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Immunoblot//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR	Functional MTI	21368858
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	21829663
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Reporter assay	Functional MTI	18281287
MIRT001771	hsa-miR-26a-5p	Homo sapiens	EZH2	2146	Homo sapiens	Immunohistochemistry//qRT-PCR//Western blot	Functional MTI	23599767
MIRT001022	hsa-miR-26a-5p	Homo sapiens	CDC6	990	Homo sapiens	Western blot	Non-Functional MTI	18713946
MIRT001021	hsa-miR-26a-5p	Homo sapiens	CDK8	1024	Homo sapiens	Western blot	Non-Functional MTI	18713946
MIRT004338	hsa-miR-26a-5p	Homo sapiens	CTGF	1490	Homo sapiens	Western blot	Non-Functional MTI	18713946
MIRT004339	hsa-miR-26a-5p	Homo sapiens	STRADB	55437	Homo sapiens	Western blot	Non-Functional MTI	18713946
MIRT001013	hsa-miR-34a-5p	Homo sapiens	CCND1	595	Homo sapiens	qRT-PCR//Luciferase reporter assay//Western blot//Reporter assay	Functional MTI	18406353
MIRT001013	hsa-miR-34a-5p	Homo sapiens	CCND1	595	Homo sapiens	Luciferase reporter assay	Functional MTI	19461653
