Sample,RINe,Conc_ng_ul
012617_LCRISP_2hr,9.2,31.6
012617_LINERS_2hr,9.7,51.3
012617_GVAG_2hr,9.6,38.1
012617_MEDIA_2hr,2.8,4.62
012617_LCRISP_4hr,8.9,29
012617_GVAG_4hr,9.4,33.7
012617_MEDIA_4hr,9.3,14.9
012617_LCRISP_6hr,9.3,24.2
012617_LINERS_6hr,9.5,52.6
012617_GVAG_6hr,8.9,28.1
012617_MEDIA_6hr,9.4,45.9
