Study,Well,PrimerPair,Replicate,Sample,Row,Col,CellLine,ExposureTime,BCM,Sample Name,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,hrN,EAF,BAF,TAF,CAF
112816,262,RNU6,1,112816_MEDIA_1hr,K,22,VK2,1hr,MEDIA,K22,sybr,SYBR,Unknown,21.23315,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,310,RNU6,1,112816_NTC_NA,M,22,VK2,NA,NTC,M22,sybr,SYBR,Unknown,NA,82.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,TRUE,,TRUE,,,TRUE,,,
112816,23,RNU6,2,112816_LINERS_0.5hr,A,23,VK2,0.5hr,LINERS,A23,sybr,SYBR,Unknown,22.848825,74.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,71,RNU6,2,112816_LINERS_4hr,C,23,VK2,4hr,LINERS,C23,sybr,SYBR,Unknown,21.393967,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,119,RNU6,2,112816_LCRISP_1hr,E,23,VK2,1hr,LCRISP,E23,sybr,SYBR,Unknown,24.23664,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,167,RNU6,2,112816_LINERS_1hr,G,23,VK2,1hr,LINERS,G23,sybr,SYBR,Unknown,22.643635,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,215,RNU6,2,112816_GVAG_1hr,I,23,VK2,1hr,GVAG,I23,sybr,SYBR,Unknown,21.913376,75.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,263,RNU6,2,112816_MEDIA_1hr,K,23,VK2,1hr,MEDIA,K23,sybr,SYBR,Unknown,21.297594,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,311,RNU6,2,112816_NTC_NA,M,23,VK2,NA,NTC,M23,sybr,SYBR,Unknown,NA,66.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,TRUE,,TRUE,,,TRUE,,,
112816,24,RNU6,3,112816_LINERS_0.5hr,A,24,VK2,0.5hr,LINERS,A24,sybr,SYBR,Unknown,22.731472,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,72,RNU6,3,112816_LINERS_4hr,C,24,VK2,4hr,LINERS,C24,sybr,SYBR,Unknown,21.402248,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,120,RNU6,3,112816_LCRISP_1hr,E,24,VK2,1hr,LCRISP,E24,sybr,SYBR,Unknown,23.96359,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,168,RNU6,3,112816_LINERS_1hr,G,24,VK2,1hr,LINERS,G24,sybr,SYBR,Unknown,22.634443,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,216,RNU6,3,112816_GVAG_1hr,I,24,VK2,1hr,GVAG,I24,sybr,SYBR,Unknown,21.949654,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,264,RNU6,3,112816_MEDIA_1hr,K,24,VK2,1hr,MEDIA,K24,sybr,SYBR,Unknown,21.035952,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,,,,,,,,,
112816,312,RNU6,3,112816_NTC_NA,M,24,VK2,NA,NTC,M24,sybr,SYBR,Unknown,NA,62.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.4,,,,TRUE,,TRUE,,,TRUE,,,
