Study,Well,Sample,Sample Name,Detector Name,Reporter,Task,Ct,PrimerPair,BCM,ExposureTime,CellLine,Replicate,Row,Col,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
052917,8,052917_DL_10_4hr,A8,sybr,SYBR,Unknown,23.078365,miR-193b,DL_10,4hr,VK2,2,A,8,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,56,052917_DL_10_22hr,C8,sybr,SYBR,Unknown,27.193148,miR-193b,DL_10,22hr,VK2,2,C,8,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
052917,9,052917_DL_10_4hr,A9,sybr,SYBR,Unknown,22.621426,miR-193b,DL_10,4hr,VK2,3,A,9,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,57,052917_DL_10_22hr,C9,sybr,SYBR,Unknown,27.178778,miR-193b,DL_10,22hr,VK2,3,C,9,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,16,052917_DL_10_4hr,A16,sybr,SYBR,Unknown,20.821617,RNU6,DL_10,4hr,VK2,1,A,16,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,64,052917_DL_10_22hr,C16,sybr,SYBR,Unknown,26.861757,RNU6,DL_10,22hr,VK2,1,C,16,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,17,052917_DL_10_4hr,A17,sybr,SYBR,Unknown,20.555204,RNU6,DL_10,4hr,VK2,2,A,17,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,65,052917_DL_10_22hr,C17,sybr,SYBR,Unknown,26.922024,RNU6,DL_10,22hr,VK2,2,C,17,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,18,052917_DL_10_4hr,A18,sybr,SYBR,Unknown,20.603207,RNU6,DL_10,4hr,VK2,3,A,18,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
052917,66,052917_DL_10_22hr,C18,sybr,SYBR,Unknown,26.885801,RNU6,DL_10,22hr,VK2,3,C,18,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,19,091417_MEDIA_1hr,A19,sybr,SYBR,Unknown,18.741203,RNU6,MEDIA,1hr,VK2,1,A,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,67,091417_MEDIA_4hr,C19,sybr,SYBR,Unknown,17.913305,RNU6,MEDIA,4hr,VK2,1,C,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,115,091417_MEDIA_8hr,E19,sybr,SYBR,Unknown,19.9031,RNU6,MEDIA,8hr,VK2,1,E,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,163,091417_MEDIA_16hr,G19,sybr,SYBR,Unknown,19.664762,RNU6,MEDIA,16hr,VK2,1,G,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,211,091417_MEDIA_19hr,I19,sybr,SYBR,Unknown,18.762924,RNU6,MEDIA,19hr,VK2,1,I,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,259,091417_MEDIA_22hr,K19,sybr,SYBR,Unknown,18.527237,RNU6,MEDIA,22hr,VK2,1,K,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,307,110317_DL_10_13hr,M19,sybr,SYBR,Unknown,23.866396,RNU6,DL_10,13hr,VK2,1,M,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,355,110317_MEDIA_13hr,O19,sybr,SYBR,Unknown,18.506783,RNU6,MEDIA,13hr,VK2,1,O,19,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,20,091417_MEDIA_1hr,A20,sybr,SYBR,Unknown,18.83299,RNU6,MEDIA,1hr,VK2,2,A,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,68,091417_MEDIA_4hr,C20,sybr,SYBR,Unknown,18.123402,RNU6,MEDIA,4hr,VK2,2,C,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,116,091417_MEDIA_8hr,E20,sybr,SYBR,Unknown,19.746576,RNU6,MEDIA,8hr,VK2,2,E,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,164,091417_MEDIA_16hr,G20,sybr,SYBR,Unknown,19.367409,RNU6,MEDIA,16hr,VK2,2,G,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,212,091417_MEDIA_19hr,I20,sybr,SYBR,Unknown,18.763746,RNU6,MEDIA,19hr,VK2,2,I,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,260,091417_MEDIA_22hr,K20,sybr,SYBR,Unknown,18.578348,RNU6,MEDIA,22hr,VK2,2,K,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,308,110317_DL_10_13hr,M20,sybr,SYBR,Unknown,24.066656,RNU6,DL_10,13hr,VK2,2,M,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,356,110317_MEDIA_13hr,O20,sybr,SYBR,Unknown,18.430292,RNU6,MEDIA,13hr,VK2,2,O,20,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,21,091417_MEDIA_1hr,A21,sybr,SYBR,Unknown,18.78946,RNU6,MEDIA,1hr,VK2,3,A,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,69,091417_MEDIA_4hr,C21,sybr,SYBR,Unknown,18.036926,RNU6,MEDIA,4hr,VK2,3,C,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,117,091417_MEDIA_8hr,E21,sybr,SYBR,Unknown,19.923939,RNU6,MEDIA,8hr,VK2,3,E,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,165,091417_MEDIA_16hr,G21,sybr,SYBR,Unknown,19.66069,RNU6,MEDIA,16hr,VK2,3,G,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,213,091417_MEDIA_19hr,I21,sybr,SYBR,Unknown,18.783463,RNU6,MEDIA,19hr,VK2,3,I,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,261,091417_MEDIA_22hr,K21,sybr,SYBR,Unknown,18.670183,RNU6,MEDIA,22hr,VK2,3,K,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,309,110317_DL_10_13hr,M21,sybr,SYBR,Unknown,24.238531,RNU6,DL_10,13hr,VK2,3,M,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
110317,357,110317_MEDIA_13hr,O21,sybr,SYBR,Unknown,18.565619,RNU6,MEDIA,13hr,VK2,3,O,21,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
091417,22,091417_DL_10_0.5hr,A22,sybr,SYBR,Unknown,27.940247,RNU6,DL_10,0.5hr,VK2,1,A,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,70,091417_DL_10_1hr,C22,sybr,SYBR,Unknown,19.203547,RNU6,DL_10,1hr,VK2,1,C,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,118,091417_DL_10_4hr,E22,sybr,SYBR,Unknown,19.281574,RNU6,DL_10,4hr,VK2,1,E,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,166,091417_DL_10_8hr,G22,sybr,SYBR,Unknown,19.58117,RNU6,DL_10,8hr,VK2,1,G,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,214,091417_DL_10_16hr,I22,sybr,SYBR,Unknown,20.087786,RNU6,DL_10,16hr,VK2,1,I,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,262,091417_DL_10_19hr,K22,sybr,SYBR,Unknown,20.265055,RNU6,DL_10,19hr,VK2,1,K,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,310,091417_DL_10_22hr,M22,sybr,SYBR,Unknown,20.938547,RNU6,DL_10,22hr,VK2,1,M,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,358,091417_MEDIA_0.5hr,O22,sybr,SYBR,Unknown,18.722748,RNU6,MEDIA,0.5hr,VK2,1,O,22,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,23,091417_DL_10_0.5hr,A23,sybr,SYBR,Unknown,28.054308,RNU6,DL_10,0.5hr,VK2,2,A,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,71,091417_DL_10_1hr,C23,sybr,SYBR,Unknown,19.228657,RNU6,DL_10,1hr,VK2,2,C,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,119,091417_DL_10_4hr,E23,sybr,SYBR,Unknown,19.254667,RNU6,DL_10,4hr,VK2,2,E,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,167,091417_DL_10_8hr,G23,sybr,SYBR,Unknown,19.780273,RNU6,DL_10,8hr,VK2,2,G,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,215,091417_DL_10_16hr,I23,sybr,SYBR,Unknown,19.985294,RNU6,DL_10,16hr,VK2,2,I,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,263,091417_DL_10_19hr,K23,sybr,SYBR,Unknown,21.00185,RNU6,DL_10,19hr,VK2,2,K,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,311,091417_DL_10_22hr,M23,sybr,SYBR,Unknown,21.123808,RNU6,DL_10,22hr,VK2,2,M,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,359,091417_MEDIA_0.5hr,O23,sybr,SYBR,Unknown,18.731354,RNU6,MEDIA,0.5hr,VK2,2,O,23,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,24,091417_DL_10_0.5hr,A24,sybr,SYBR,Unknown,28.374592,RNU6,DL_10,0.5hr,VK2,3,A,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,72,091417_DL_10_1hr,C24,sybr,SYBR,Unknown,18.868141,RNU6,DL_10,1hr,VK2,3,C,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,120,091417_DL_10_4hr,E24,sybr,SYBR,Unknown,19.10184,RNU6,DL_10,4hr,VK2,3,E,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,168,091417_DL_10_8hr,G24,sybr,SYBR,Unknown,19.524437,RNU6,DL_10,8hr,VK2,3,G,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,216,091417_DL_10_16hr,I24,sybr,SYBR,Unknown,19.972551,RNU6,DL_10,16hr,VK2,3,I,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,264,091417_DL_10_19hr,K24,sybr,SYBR,Unknown,19.781557,RNU6,DL_10,19hr,VK2,3,K,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,312,091417_DL_10_22hr,M24,sybr,SYBR,Unknown,20.856747,RNU6,DL_10,22hr,VK2,3,M,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
091417,360,091417_MEDIA_0.5,O24,sybr,SYBR,Unknown,18.63341,RNU6,MEDIA,0.5,VK2,3,O,24,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
