Sample,pH
012617_LCRISP_2hr,
012617_LINERS_2hr,
012617_GVAG_2hr,
012617_MEDIA_2hr,
012617_LCRISP_4hr,
012617_GVAG_4hr,
012617_MEDIA_4hr,
012617_LCRISP_6hr,
012617_LINERS_6hr,
012617_GVAG_6hr,
012617_MEDIA_6hr,
