Study,Well,Sample Name,Row,Col,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
012617,108,E12,E,12,CCND1,1,012617_GVAG_2hr,VK2,2hr,GVAG,sybr,SYBR,Unknown,36.037865,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,109,E13,E,13,CCND1,2,012617_GVAG_2hr,VK2,2hr,GVAG,sybr,SYBR,Unknown,36.219322,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,97,E1,E,1,miR-193b,1,012617_GVAG_2hr,VK2,2hr,GVAG,sybr,SYBR,Unknown,29.548832,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,98,E2,E,2,miR-193b,2,012617_GVAG_2hr,VK2,2hr,GVAG,sybr,SYBR,Unknown,29.558552,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,119,E23,E,23,RNU6,1,012617_GVAG_2hr,VK2,2hr,GVAG,sybr,SYBR,Unknown,28.805927,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,120,E24,E,24,RNU6,2,012617_GVAG_2hr,VK2,2hr,GVAG,sybr,SYBR,Unknown,27.894157,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,12,A12,A,12,CCND1,1,012617_LCRISP_2hr,VK2,2hr,LCRISP,sybr,SYBR,Unknown,38.026356,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,TRUE,,,,,,
012617,13,A13,A,13,CCND1,2,012617_LCRISP_2hr,VK2,2hr,LCRISP,sybr,SYBR,Unknown,38.19341,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,TRUE,,,,,,
012617,1,A1,A,1,miR-193b,1,012617_LCRISP_2hr,VK2,2hr,LCRISP,sybr,SYBR,Unknown,30.165718,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,2,A2,A,2,miR-193b,2,012617_LCRISP_2hr,VK2,2hr,LCRISP,sybr,SYBR,Unknown,30.05036,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,23,A23,A,23,RNU6,1,012617_LCRISP_2hr,VK2,2hr,LCRISP,sybr,SYBR,Unknown,30.553574,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,24,A24,A,24,RNU6,2,012617_LCRISP_2hr,VK2,2hr,LCRISP,sybr,SYBR,Unknown,30.421309,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,60,C12,C,12,CCND1,1,012617_LINERS_2hr,VK2,2hr,LINERS,sybr,SYBR,Unknown,36.747692,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,61,C13,C,13,CCND1,2,012617_LINERS_2hr,VK2,2hr,LINERS,sybr,SYBR,Unknown,36.743553,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,49,C1,C,1,miR-193b,1,012617_LINERS_2hr,VK2,2hr,LINERS,sybr,SYBR,Unknown,27.96957,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,50,C2,C,2,miR-193b,2,012617_LINERS_2hr,VK2,2hr,LINERS,sybr,SYBR,Unknown,28.285965,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,71,C23,C,23,RNU6,1,012617_LINERS_2hr,VK2,2hr,LINERS,sybr,SYBR,Unknown,27.674316,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,72,C24,C,24,RNU6,2,012617_LINERS_2hr,VK2,2hr,LINERS,sybr,SYBR,Unknown,27.709452,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,156,G12,G,12,CCND1,1,012617_MEDIA_2hr,VK2,2hr,MEDIA,sybr,SYBR,Unknown,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,TRUE,,,TRUE,,,
012617,157,G13,G,13,CCND1,2,012617_MEDIA_2hr,VK2,2hr,MEDIA,sybr,SYBR,Unknown,NA,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,TRUE,,,TRUE,,,
012617,145,G1,G,1,miR-193b,1,012617_MEDIA_2hr,VK2,2hr,MEDIA,sybr,SYBR,Unknown,37.63705,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,146,G2,G,2,miR-193b,2,012617_MEDIA_2hr,VK2,2hr,MEDIA,sybr,SYBR,Unknown,38.013084,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,167,G23,G,23,RNU6,1,012617_MEDIA_2hr,VK2,2hr,MEDIA,sybr,SYBR,Unknown,34.868153,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,168,G24,G,24,RNU6,2,012617_MEDIA_2hr,VK2,2hr,MEDIA,sybr,SYBR,Unknown,34.738045,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,252,K12,K,12,CCND1,1,012617_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,36.668343,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,241,K1,K,1,miR-193b,1,012617_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,29.09554,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,242,K2,K,2,miR-193b,2,012617_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,27.510113,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,263,K23,K,23,RNU6,1,012617_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,26.643234,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,264,K24,K,24,RNU6,2,012617_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,26.795116,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,204,I12,I,12,CCND1,1,012617_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,37.95762,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,193,I1,I,1,miR-193b,1,012617_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,29.690527,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,194,I2,I,2,miR-193b,2,012617_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,28.507418,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,215,I23,I,23,RNU6,1,012617_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,29.388107,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,216,I24,I,24,RNU6,2,012617_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,29.21836,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,300,M12,M,12,CCND1,1,012617_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,36.885338,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,289,M1,M,1,miR-193b,1,012617_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,30.045343,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,290,M2,M,2,miR-193b,2,012617_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,28.279224,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,311,M23,M,23,RNU6,1,012617_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,27.792948,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,312,M24,M,24,RNU6,2,012617_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,27.883747,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,62,C14,C,14,CCND1,1,012617_GVAG_6hr,VK2,6hr,GVAG,sybr,SYBR,Unknown,37.171936,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,63,C15,C,15,CCND1,2,012617_GVAG_6hr,VK2,6hr,GVAG,sybr,SYBR,Unknown,36.65824,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,51,C3,C,3,miR-193b,1,012617_GVAG_6hr,VK2,6hr,GVAG,sybr,SYBR,Unknown,28.769274,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,52,C4,C,4,miR-193b,2,012617_GVAG_6hr,VK2,6hr,GVAG,sybr,SYBR,Unknown,28.373741,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,69,C21,C,21,RNU6,1,012617_GVAG_6hr,VK2,6hr,GVAG,sybr,SYBR,Unknown,26.65554,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,70,C22,C,22,RNU6,2,012617_GVAG_6hr,VK2,6hr,GVAG,sybr,SYBR,Unknown,26.580296,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,348,O12,O,12,CCND1,1,012617_LCRISP_6hr,VK2,6hr,LCRISP,sybr,SYBR,Unknown,37.393414,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,TRUE,,,,,,,,
012617,337,O1,O,1,miR-193b,1,012617_LCRISP_6hr,VK2,6hr,LCRISP,sybr,SYBR,Unknown,29.329746,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,338,O2,O,2,miR-193b,2,012617_LCRISP_6hr,VK2,6hr,LCRISP,sybr,SYBR,Unknown,27.928461,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
012617,359,O23,O,23,RNU6,1,012617_LCRISP_6hr,VK2,6hr,LCRISP,sybr,SYBR,Unknown,28.615421,,,,,,,,,Manual Ct,,Automatic,,,Manual,0.1,,,,,,,,,,,,
