Sample,Conc_ng_ul,RINe
012017_LCRISP_4hr,15,9.1
012017_LINERS_4hr,73.3,9.6
012017_GVAG_4hr,62.8,9.8
012017_MEDIA_4hr,46.9,9.3
012017_0hr_0hr,49,9.4
