Sample,RINe,Conc_ng_ul
A2EN_pH_6.69_1hr,8.7,32.4
A2EN_pH_6.1_1hr,8.5,27.3
A2EN_pH_5.89_1hr,7.8,29.1
VK2_pH_6.53_1hr,8.3,31.3
VK2_pH_5.76_1hr,6.9,43.8
VK2_pH_5.25_1hr,3.5,46.2
A2EN_pH_6.69_20hr,7.6,21.2
A2EN_pH_6.1_20hr,9.2,22.7
VK2_pH_6.53_20hr,8.6,110
