Sample,Well,Sample Name,Study,BCM,ExposureTime,PrimerPair,Replicate,CellLine,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct MEDIAian,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
11717_rerun_0_08_DL_1hr,3,011717_08_DL_1hr_mir193b,11717_rerun,0_08_DL,1hr,miR-193b,3,VK2,sybr,SYBR,Unknown,23.328821,,,,,,23.134832,23.150589,0.17089772,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_08_L_1hr,97,011717_08_L_1hr_mir193b,11717_rerun,0_08_L,1hr,miR-193b,1,VK2,sybr,SYBR,Unknown,22.724874,,,,,,22.724874,22.800886,0.13418959,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_08_L_1hr,98,011717_08_L_1hr_mir193b,11717_rerun,0_08_L,1hr,miR-193b,2,VK2,sybr,SYBR,Unknown,22.721958,,,,,,22.724874,22.800886,0.13418959,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_08_L_1hr,99,011717_08_L_1hr_mir193b,11717_rerun,0_08_L,1hr,miR-193b,3,VK2,sybr,SYBR,Unknown,22.955826,,,,,,22.724874,22.800886,0.13418959,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_GVAG_1hr,52,011717_GVAG_1hr_mir193b,11717_rerun,GVAG,1hr,miR-193b,1,VK2,sybr,SYBR,Unknown,22.745646,,,,,,22.558298,22.596281,0.13445793,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_GVAG_1hr,53,011717_GVAG_1hr_mir193b,11717_rerun,GVAG,1hr,miR-193b,2,VK2,sybr,SYBR,Unknown,22.558298,,,,,,22.558298,22.596281,0.13445793,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
11717_rerun_GVAG_1hr,54,011717_GVAG_1hr_mir193b,11717_rerun,GVAG,1hr,miR-193b,3,VK2,sybr,SYBR,Unknown,22.484901,,,,,,22.558298,22.596281,0.13445793,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
22017_rerun_GVAG_4hr,100,022017_GVAG_4hr_mir193b,22017_rerun,GVAG,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,21.903505,,,,,,21.903505,21.986267,0.15171634,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
22017_rerun_GVAG_4hr,101,022017_GVAG_4hr_mir193b,22017_rerun,GVAG,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,21.89393,,,,,,21.903505,21.986267,0.15171634,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
22017_rerun_GVAG_4hr,102,022017_GVAG_4hr_mir193b,22017_rerun,GVAG,4hr,miR-193b,3,VK2,sybr,SYBR,Unknown,22.161367,,,,,,21.903505,21.986267,0.15171634,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_MEDIA_1hr,337,011717_MEDIA_1hr_mir193b,11717_rerun,MEDIA,1hr,miR-193b,1,VK2,sybr,SYBR,Unknown,22.592907,,,,,,22.372458,22.426779,0.14671716,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_MEDIA_1hr,338,011717_MEDIA_1hr_mir193b,11717_rerun,MEDIA,1hr,miR-193b,2,VK2,sybr,SYBR,Unknown,22.314964,,,,,,22.372458,22.426779,0.14671716,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
11717_rerun_MEDIA_1hr,339,011717_MEDIA_1hr_mir193b,11717_rerun,MEDIA,1hr,miR-193b,3,VK2,sybr,SYBR,Unknown,22.372458,,,,,,22.372458,22.426779,0.14671716,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,TRUE,,,,,
22017_rerun_MEDIA_4hr,4,022017_MEDIA_4hr_mir193b,22017_rerun,MEDIA,4hr,miR-193b,1,VK2,sybr,SYBR,Unknown,23.571117,,,,,,23.571117,23.657038,0.15279321,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_MEDIA_4hr,5,022017_MEDIA_4hr_mir193b,22017_rerun,MEDIA,4hr,miR-193b,2,VK2,sybr,SYBR,Unknown,23.566547,,,,,,23.571117,23.657038,0.15279321,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_MEDIA_4hr,6,022017_MEDIA_4hr_mir193b,22017_rerun,MEDIA,4hr,miR-193b,3,VK2,sybr,SYBR,Unknown,23.833448,,,,,,23.571117,23.657038,0.15279321,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_0_06_D_4hr,214,022017_06_D_4hr_RNU6,22017_rerun,0_06_D,4hr,RNU6,1,VK2,sybr,SYBR,Unknown,18.58681,,,,,,18.452785,18.482286,0.09333463,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_D_4hr,215,022017_06_D_4hr_RNU6,22017_rerun,0_06_D,4hr,RNU6,2,VK2,sybr,SYBR,Unknown,18.452785,,,,,,18.452785,18.482286,0.09333463,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
22017_rerun_0_06_D_4hr,216,022017_06_D_4hr_RNU6,22017_rerun,0_06_D,4hr,RNU6,3,VK2,sybr,SYBR,Unknown,18.40727,,,,,,18.452785,18.482286,0.09333463,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
11717_rerun_0_06_DL_1hr,70,011717_06_DL_1hr_RNU6,11717_rerun,0_06_DL,1hr,RNU6,1,VK2,sybr,SYBR,Unknown,20.320807,,,,,,20.320807,20.332182,0.03587618,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_06_DL_1hr,71,011717_06_DL_1hr_RNU6,11717_rerun,0_06_DL,1hr,RNU6,2,VK2,sybr,SYBR,Unknown,20.372366,,,,,,20.320807,20.332182,0.03587618,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_06_DL_1hr,72,011717_06_DL_1hr_RNU6,11717_rerun,0_06_DL,1hr,RNU6,3,VK2,sybr,SYBR,Unknown,20.303371,,,,,,20.320807,20.332182,0.03587618,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_0_06_DL_4hr,310,022017_06_DL_4hr_RNU6,22017_rerun,0_06_DL,4hr,RNU6,1,VK2,sybr,SYBR,Unknown,19.2572,,,,,,19.2572,19.309113,0.1826371,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_0_06_DL_4hr,311,022017_06_DL_4hr_RNU6,22017_rerun,0_06_DL,4hr,RNU6,2,VK2,sybr,SYBR,Unknown,19.512087,,,,,,19.2572,19.309113,0.1826371,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
22017_rerun_0_06_DL_4hr,312,022017_06_DL_4hr_RNU6,22017_rerun,0_06_DL,4hr,RNU6,3,VK2,sybr,SYBR,Unknown,19.158052,,,,,,19.2572,19.309113,0.1826371,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_06_L_1hr,166,011717_06_L_1hr_RNU6,11717_rerun,0_06_L,1hr,RNU6,1,VK2,sybr,SYBR,Unknown,21.599873,,,,,,21.599873,21.585526,0.079301566,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
11717_rerun_0_06_L_1hr,167,011717_06_L_1hr_RNU6,11717_rerun,0_06_L,1hr,RNU6,2,VK2,sybr,SYBR,Unknown,21.656677,,,,,,21.599873,21.585526,0.079301566,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
