Study,Well,Sample Name,Row,Col,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
011217,71,C23,C,23,RNU6,2,011217_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,19.488037,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,119,E23,E,23,RNU6,2,011217_LCRISP_1hr,VK2,1hr,LCRISP,sybr,SYBR,Unknown,19.01453,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,167,G23,G,23,RNU6,2,011217_LINERS_1hr,VK2,1hr,LINERS,sybr,SYBR,Unknown,19.540781,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,215,I23,I,23,RNU6,2,011217_GVAG_1hr,VK2,1hr,GVAG,sybr,SYBR,Unknown,19.280844,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,263,K23,K,23,RNU6,2,011217_MEDIA_1hr,VK2,1hr,MEDIA,sybr,SYBR,Unknown,19.50286,75.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,24,A24,A,24,RNU6,3,011217_LINERS_0.5hr,VK2,0.5hr,LINERS,sybr,SYBR,Unknown,20.366558,74.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,72,C24,C,24,RNU6,3,011217_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,19.422026,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,120,E24,E,24,RNU6,3,011217_LCRISP_1hr,VK2,1hr,LCRISP,sybr,SYBR,Unknown,19.08333,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,168,G24,G,24,RNU6,3,011217_LINERS_1hr,VK2,1hr,LINERS,sybr,SYBR,Unknown,19.539879,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,216,I24,I,24,RNU6,3,011217_GVAG_1hr,VK2,1hr,GVAG,sybr,SYBR,Unknown,19.356102,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
011217,264,K24,K,24,RNU6,3,011217_MEDIA_1hr,VK2,1hr,MEDIA,sybr,SYBR,Unknown,19.331572,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
