Sample,Conc_ng_ul,RINe
112816_LINERS_0.5hr,25.1,7.1
112816_LINERS_4hr,28,7.4
112816_LCRISP_1hr,11.3,7.5
112816_LINERS_1hr,23.8,7.5
112816_GVAG_1hr,33.2,7.5
112816_MEDIA_1hr,33.2,7.7
112816_NTC_NA,,
