Sample,Conc_ng_ul,RINe
011717_VK2_LCRISP_1hr,83.9,9.4
011717_VK2_LINERS_1hr,87.8,9.2
011717_VK2_GVAG_1hr,48.1,9.2
011717_VK2_MEDIA_1hr,58.6,8.4
011717_VK2_DL_0_08_1hr,56.6,9.6
011717_VK2_DL_0_06_1hr,69.1,8.5
011717_VK2_L_0_08_1hr,57.6,7.9
011717_VK2_L_0_06_1hr,48.7,8.1
