Sample,Conc_ng_ul,RINe
011217_LINERS_0.5hr,261,9
011217_LINERS_4hr,190,9.3
011217_LCRISP_1hr,288,8.7
011217_LINERS_1hr,202,9.3
011217_GVAG_1hr,209,9.6
011217_MEDIA_1hr,237,9.3
