Study,Well,Sample Name,Row,Col,PrimerPair,Replicate,Sample,CellLine,ExposureTime,BCM,Detector Name,Reporter,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
012017,1,A1,A,1,miR-193b,1,012017_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,28.47242,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,49,C1,C,1,miR-193b,1,012017_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,25.08026,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,97,E1,E,1,miR-193b,1,012017_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,25.563555,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,145,G1,G,1,miR-193b,1,012017_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,25.663256,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,193,I1,I,1,miR-193b,1,012017_0hr_0hr,VK2,0hr,0hr,sybr,SYBR,Unknown,24.765142,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,2,A2,A,2,miR-193b,2,012017_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,28.473469,76.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,50,C2,C,2,miR-193b,2,012017_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,25.165628,76.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,98,E2,E,2,miR-193b,2,012017_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,25.525263,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,146,G2,G,2,miR-193b,2,012017_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,25.771755,77.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,194,I2,I,2,miR-193b,2,012017_0hr_0hr,VK2,0hr,0hr,sybr,SYBR,Unknown,24.742107,77.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,12,A12,A,12,CCND1,1,012017_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,32.29747,77.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,60,C12,C,12,CCND1,1,012017_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,31.21137,64.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,108,E12,E,12,CCND1,1,012017_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,31.373974,79.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,156,G12,G,12,CCND1,1,012017_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,32.256332,78.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,204,I12,I,12,CCND1,1,012017_0hr_0hr,VK2,0hr,0hr,sybr,SYBR,Unknown,31.468483,79.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,13,A13,A,13,CCND1,2,012017_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,32.798313,76.8,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,61,C13,C,13,CCND1,2,012017_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,31.905312,76.2,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,109,E13,E,13,CCND1,2,012017_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,31.880358,78.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,157,G13,G,13,CCND1,2,012017_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,31.854689,77.8,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,205,I13,I,13,CCND1,2,012017_0hr_0hr,VK2,0hr,0hr,sybr,SYBR,Unknown,31.750526,64.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,23,A23,A,23,RNU6,1,012017_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,23.281849,74.8,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,71,C23,C,23,RNU6,1,012017_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,20.780691,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,119,E23,E,23,RNU6,1,012017_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,20.743464,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,167,G23,G,23,RNU6,1,012017_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,21.153297,75.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,215,I23,I,23,RNU6,1,012017_0hr_0hr,VK2,0hr,0hr,sybr,SYBR,Unknown,21.279741,75.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,24,A24,A,24,RNU6,2,012017_LCRISP_4hr,VK2,4hr,LCRISP,sybr,SYBR,Unknown,23.22931,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,72,C24,C,24,RNU6,2,012017_LINERS_4hr,VK2,4hr,LINERS,sybr,SYBR,Unknown,20.866219,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,120,E24,E,24,RNU6,2,012017_GVAG_4hr,VK2,4hr,GVAG,sybr,SYBR,Unknown,20.682646,75.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,168,G24,G,24,RNU6,2,012017_MEDIA_4hr,VK2,4hr,MEDIA,sybr,SYBR,Unknown,21.02933,75.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
012017,216,I24,I,24,RNU6,2,012017_0hr_0hr,VK2,0hr,0hr,sybr,SYBR,Unknown,21.194353,75.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.3,,,,,,,,,,,,
