Sample,pH,
A2EN_GVAG_1_1_1HR,6.29,
A2EN_LCRISP_1_1_1HR,5.29,
A2EN_LINERS_1_1_1HR,6.09,
A2EN_MEDIA_1_1_1HR,7.45,
VK2_GVAG_1_1_1HR,6.73,*from 091216
VK2_LCRISP_1_1_1HR,4.58,*from 091216
VK2_LINERS_1_1_1HR,NA,*from 091216
VK2_MEDIA_1_1_1HR,7.28,*from 091216
