Sample,pH
A2EN_pH_6.69_1hr,6.69
A2EN_pH_6.1_1hr,6.1
A2EN_pH_5.89_1hr,5.89
VK2_pH_6.53_1hr,6.53
VK2_pH_5.76_1hr,5.76
VK2_pH_5.25_1hr,5.25
A2EN_pH_6.69_20hr,6.69
A2EN_pH_6.1_20hr,6.1
VK2_pH_6.53_20hr,6.53
NTC,NA
