Sample,RINe,Conc_ng_ul
110816_FLEX_LCRISP_VK2,9.8,67.3
110816_FLEX_LINERS_VK2,9.5,61.8
110816_FLEX_GVAG_VK2,9.7,52.4
110816_FLEX_MEDIA_VK2,9.7,55.3
