SDS 2.4	AQ Results	1.0
Filename	042417_LacticAcid
PlateID	
Assay Type	Absolute Quantification
Run DateTime	4/26/17 4:37:22 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
1	A1	sybr	SYBR	Unknown	18.598314	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2													
18	A18	sybr	SYBR	Unknown	22.616188	77.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
19	A19	sybr	SYBR	Unknown	22.752256	77.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
2	A2	sybr	SYBR	Unknown	18.50083	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2													
20	A20	sybr	SYBR	Unknown	22.550064	76.8	Auto Tm							Manual Ct		Automatic			Manual	0.2													
22	A22	sybr	SYBR	Unknown	22.778217	76.7	Auto Tm							Manual Ct		Automatic			Manual	0.2													
23	A23	sybr	SYBR	Unknown	22.589886	76.7	Auto Tm							Manual Ct		Automatic			Manual	0.2													
24	A24	sybr	SYBR	Unknown	22.485714	76.7	Auto Tm							Manual Ct		Automatic			Manual	0.2													
3	A3	sybr	SYBR	Unknown	18.57571	62.4	Auto Tm							Manual Ct		Automatic			Manual	0.2													
5	A5	sybr	SYBR	Unknown	17.707493	75.6	Auto Tm							Manual Ct		Automatic			Manual	0.2													
6	A6	sybr	SYBR	Unknown	18.178637	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2													
7	A7	sybr	SYBR	Unknown	18.241146	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2													
49	C1	sybr	SYBR	Unknown	20.65144	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true		true						
66	C18	sybr	SYBR	Unknown	22.684269	62.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
67	C19	sybr	SYBR	Unknown	22.561106	62.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
50	C2	sybr	SYBR	Unknown	21.177618	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2													
68	C20	sybr	SYBR	Unknown	22.516445	77.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
70	C22	sybr	SYBR	Unknown	23.70404	77.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
71	C23	sybr	SYBR	Unknown	23.43072	77.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
72	C24	sybr	SYBR	Unknown	23.406017	76.7	Auto Tm							Manual Ct		Automatic			Manual	0.2													
51	C3	sybr	SYBR	Unknown	20.645332	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
53	C5	sybr	SYBR	Unknown	17.528791	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
54	C6	sybr	SYBR	Unknown	17.074236	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
55	C7	sybr	SYBR	Unknown	17.387041	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
97	E1	sybr	SYBR	Unknown	18.817898	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
114	E18	sybr	SYBR	Unknown	22.517239	63.1	Auto Tm							Manual Ct		Automatic			Manual	0.2													
115	E19	sybr	SYBR	Unknown	22.232157	62.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
98	E2	sybr	SYBR	Unknown	18.876877	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
116	E20	sybr	SYBR	Unknown	22.270136	62.0	Auto Tm							Manual Ct		Automatic			Manual	0.2													
118	E22	sybr	SYBR	Unknown	22.985397	61.9	Auto Tm							Manual Ct		Automatic			Manual	0.2													
119	E23	sybr	SYBR	Unknown	23.285448	61.9	Auto Tm							Manual Ct		Automatic			Manual	0.2													
120	E24	sybr	SYBR	Unknown	23.035435	76.7	Auto Tm							Manual Ct		Automatic			Manual	0.2													
99	E3	sybr	SYBR	Unknown	18.886164	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
101	E5	sybr	SYBR	Unknown	16.827599	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
102	E6	sybr	SYBR	Unknown	16.826958	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
103	E7	sybr	SYBR	Unknown	16.565487	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
145	G1	sybr	SYBR	Unknown	19.621344	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
162	G18	sybr	SYBR	Unknown	23.106369	62.0	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
163	G19	sybr	SYBR	Unknown	22.853994	62.5	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
146	G2	sybr	SYBR	Unknown	19.817158	62.1	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
164	G20	sybr	SYBR	Unknown	22.832361	62.0	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
166	G22	sybr	SYBR	Unknown	23.322617	61.9	Auto Tm							Manual Ct		Automatic			Manual	0.2					true								
167	G23	sybr	SYBR	Unknown	23.330639	62.2	Auto Tm							Manual Ct		Automatic			Manual	0.2													
168	G24	sybr	SYBR	Unknown	23.248955	61.9	Auto Tm							Manual Ct		Automatic			Manual	0.2													
