Well,Sample Name,Detector Name,Reporter,Row,Col,PrimerPair,Sample,Replicate,Study,BCM,ExposureTime,CellLine,Task,Ct,Tm Value,Tm Type,Quantity,Qty Mean,Qty StdDev,Ct Median,Ct Mean,Ct StdDev,Ct Type,Template Name,Baseline Type,Baseline Start,Baseline Stop,Threshold Type,Threshold,FOS,HMD,LME,EW,BPR,NAW,HNS,HRN,EAF,BAF,TAF,CAF
215,I23,sybr,SYBR,I,23,miR-193b,042417_L_10_4hr,2,042417,L_10,4hr,VK2,Unknown,24.292564,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
216,I24,sybr,SYBR,I,24,miR-193b,042417_L_10_4hr,3,042417,L_10,4hr,VK2,Unknown,24.410624,77.3,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
70,C22,sybr,SYBR,C,22,miR-193b,042417_L_12_4hr,1,042417,L_12,4hr,VK2,Unknown,23.70404,77,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
71,C23,sybr,SYBR,C,23,miR-193b,042417_L_12_4hr,2,042417,L_12,4hr,VK2,Unknown,23.43072,77,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
72,C24,sybr,SYBR,C,24,miR-193b,042417_L_12_4hr,3,042417,L_12,4hr,VK2,Unknown,23.406017,76.7,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
358,O22,sybr,SYBR,O,22,miR-193b,042417_L_8_4hr,1,042417,L_8,4hr,VK2,Unknown,23.069328,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
359,O23,sybr,SYBR,O,23,miR-193b,042417_L_8_4hr,2,042417,L_8,4hr,VK2,Unknown,23.316317,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
360,O24,sybr,SYBR,O,24,miR-193b,042417_L_8_4hr,3,042417,L_8,4hr,VK2,Unknown,23.251839,61.9,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
210,I18,sybr,SYBR,I,18,miR-193b,042417_MEDIA_4hr,1,042417,MEDIA,4hr,VK2,Unknown,24.23984,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
211,I19,sybr,SYBR,I,19,miR-193b,042417_MEDIA_4hr,2,042417,MEDIA,4hr,VK2,Unknown,24.197002,63.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
212,I20,sybr,SYBR,I,20,miR-193b,042417_MEDIA_4hr,3,042417,MEDIA,4hr,VK2,Unknown,24.040133,63.6,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
66,C18,sybr,SYBR,C,18,miR-193b,042417_PH_733_4hr,1,042417,PH_733,4hr,VK2,Unknown,22.684269,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
67,C19,sybr,SYBR,C,19,miR-193b,042417_PH_733_4hr,2,042417,PH_733,4hr,VK2,Unknown,22.561106,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
68,C20,sybr,SYBR,C,20,miR-193b,042417_PH_733_4hr,3,042417,PH_733,4hr,VK2,Unknown,22.516445,77,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
114,E18,sybr,SYBR,E,18,miR-193b,042417_PH_755_4hr,1,042417,PH_755,4hr,VK2,Unknown,22.517239,63.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
115,E19,sybr,SYBR,E,19,miR-193b,042417_PH_755_4hr,2,042417,PH_755,4hr,VK2,Unknown,22.232157,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
116,E20,sybr,SYBR,E,20,miR-193b,042417_PH_755_4hr,3,042417,PH_755,4hr,VK2,Unknown,22.270136,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
162,G18,sybr,SYBR,G,18,miR-193b,042417_PH_766_4hr,1,042417,PH_766,4hr,VK2,Unknown,23.106369,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
163,G19,sybr,SYBR,G,19,miR-193b,042417_PH_766_4hr,2,042417,PH_766,4hr,VK2,Unknown,22.853994,62.5,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
164,G20,sybr,SYBR,G,20,miR-193b,042417_PH_766_4hr,3,042417,PH_766,4hr,VK2,Unknown,22.832361,62,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
245,K5,sybr,SYBR,K,5,RNU6,022017_run_0424_GVAG_4hr,1,022017_run_0424,GVAG,4hr,VK2,Unknown,18.234808,62.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
246,K6,sybr,SYBR,K,6,RNU6,022017_run_0424_GVAG_4hr,2,022017_run_0424,GVAG,4hr,VK2,Unknown,17.99683,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
247,K7,sybr,SYBR,K,7,RNU6,022017_run_0424_GVAG_4hr,3,022017_run_0424,GVAG,4hr,VK2,Unknown,17.812363,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
293,M5,sybr,SYBR,M,5,RNU6,022017_run_0424_MEDIA_4hr,1,022017_run_0424,MEDIA,4hr,VK2,Unknown,18.53795,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
294,M6,sybr,SYBR,M,6,RNU6,022017_run_0424_MEDIA_4hr,2,022017_run_0424,MEDIA,4hr,VK2,Unknown,18.407114,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
295,M7,sybr,SYBR,M,7,RNU6,022017_run_0424_MEDIA_4hr,3,022017_run_0424,MEDIA,4hr,VK2,Unknown,18.235899,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
145,G1,sybr,SYBR,G,1,RNU6,042417_D_10_4hr,1,042417,D_10,4hr,VK2,Unknown,19.621344,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
146,G2,sybr,SYBR,G,2,RNU6,042417_D_10_4hr,2,042417,D_10,4hr,VK2,Unknown,19.817158,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
147,G3,sybr,SYBR,G,3,RNU6,042417_D_10_4hr,3,042417,D_10,4hr,VK2,Unknown,19.854061,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
1,A1,sybr,SYBR,A,1,RNU6,042417_D_12_4hr,1,042417,D_12,4hr,VK2,Unknown,18.598314,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
2,A2,sybr,SYBR,A,2,RNU6,042417_D_12_4hr,2,042417,D_12,4hr,VK2,Unknown,18.50083,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
3,A3,sybr,SYBR,A,3,RNU6,042417_D_12_4hr,3,042417,D_12,4hr,VK2,Unknown,18.57571,62.4,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,,,,,,,,
289,M1,sybr,SYBR,M,1,RNU6,042417_D_8_4hr,1,042417,D_8,4hr,VK2,Unknown,17.544529,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
290,M2,sybr,SYBR,M,2,RNU6,042417_D_8_4hr,2,042417,D_8,4hr,VK2,Unknown,17.26737,62.1,Auto Tm,,,,,,,Manual Ct,,Automatic,,,Manual,0.2,,,,,TRUE,,,,,,,
