"","num_de_genes","comparison"
"LCM.4",1022,"LCM.4"
"LJM.4",868,"LJM.4"
"LIM.4",838,"LIM.4"
"GVM.4",246,"GVM.4"
"LCM.13",4098,"LCM.13"
"LJM.13",2753,"LJM.13"
"LIM.13",436,"LIM.13"
"GVM.13",122,"GVM.13"
"LCM.22",5505,"LCM.22"
"LJM.22",3039,"LJM.22"
"LIM.22",585,"LIM.22"
"GVM.22",166,"GVM.22"
